I,Q,alpha,gamma,c,width
152.7155056395802,1.833066525446848,0.2931406986569204,0.014826441615222024,0.013236777798553053,0.9906777467588483,0.7062839629534124
51.9300369612435,1.8200035185727237,0.9999999999999999,0.047332537727840705,0.062829279996883,1e-10,2.4058401035628676
66.54897231881853,2.1276112420598476,0.9999999999999586,0.13025869479316127,0.02260691248551385,1e-10,2.4972119377378164
37.53112132908326,2.1181149354276743,0.00011523219685551019,0.009462385552377458,0.008219037014746257,1e-10,0.018929007826316464
316.0397511391964,3.0018030788883374,0.35277012025767307,0.12285815413297102,0.013832346438546248,1.0000015028332522e-10,0.9699044541484672
49.08450297767072,2.982500363530711,0.0343237840500828,1.1052118117161571e-07,0.12285643819998653,1e-10,0.08082645287176093
20.1619532833612,2.575005979863413,2.2173870490378828e-08,0.44027198999138506,0.1000000127446538,1e-10,0.8805466666358738
69.59436200697972,3.5052907571442553,0.9999999999999999,0.12744694827967995,0.15728388345113292,1e-10,2.4940724907440193
8.58436674043743,3.1578199676835235,1.3112454826484478e-06,0.1445941300692719,0.10000112783325389,1e-10,0.2891891425245936
32.55039033592887,4.138552990123389,0.9999996105050212,0.0919386647901261,0.04846941246682641,0.29517855897503154,2.4546744240036737
52.19041221493188,4.240317193572187,0.3104614200028137,0.031352912924648736,0.024665835647251427,1e-10,0.7651855548037938
20.827055070315037,4.636936953655309,0.9999896044152837,0.10000000000067585,0.10000000011935098,1e-10,2.4635544974048393
32.06649093569904,4.7444798180264165,0.999999999185467,0.05470046946605658,0.06043438795623545,1e-10,2.413856164353847
145.05005643071277,5.135193625953494,0.1276646278099233,0.18488983748460489,0.11591191939085482,1e-10,0.5440856635900793
9.269450955757353,5.486253585324532,5.656297863363059e-07,0.10000000000000002,0.11386990580281027,1e-10,0.20000061023529075
