I,Q,alpha,gamma,c,width
363.5198676861411,1.8392038249368472,0.6099429438557463,0.012766102521145552,0.011093698762619075,1e-10,1.4500045404123523
12.671497694581921,1.991253086917509,1.4041544602723805e-07,0.08269983043450053,0.3133932660887161,1e-10,0.16540016552538062
301.61065865960614,2.1318778775280514,0.5087654711238105,0.021826803132525736,0.024883021398422328,300.1273639725996,1.2215605986844735
179.14297834885065,2.2311374981242658,0.5995123539810007,0.009218967966311449,0.008387050645698432,1e-10,1.4216267080830312
63.670057968120894,1.8947981334377864,0.02750087474314352,0.10447761249999998,0.10000000000000002,1e-10,0.22854520714128862
76.16019721491327,2.3441831832538753,0.7497864839965198,0.011329913335931946,0.0089644471438766,1e-10,1.7777576804055277
31.63564354309361,2.502056093327157,0.9690798376075133,0.009643408740227039,0.012935392993260039,16.003008651752026,2.292337012951007
10.966728196003924,2.4492891601563676,0.8167333424336328,0.011753064247455232,0.013343033422210708,1e-10,1.9358575360211105
126.8758635504329,2.7552066416351124,0.6558013031602646,0.013039760445879947,0.010258298981340985,1e-10,1.5582838630973832
951.2031282263432,3.0070472222645837,0.568225463608656,0.0191535665774881,0.014973820120920089,946.462011630776,1.3586664706240839
414.5659003043825,3.1042787998460235,0.6405118421066409,0.013770294170818678,0.01253906496642124,12.192330359106034,1.5230677839665205
19.644198089624293,2.9724965281195637,0.5360290810269757,0.014841460422579906,0.0003308870896057592,1e-10,1.278196107390711
89.79209764406019,3.517966190898043,0.9999999964616928,0.07953710951214235,0.22339041766698065,1e-10,2.441024605265766
18.879668693001108,3.245641900167443,7.117950034846845e-11,0.4309218649589779,0.10000000028460097,1e-10,0.8618463595141845
55.725614702788,3.9910637425753928,0.9999999996946212,0.07562145544203133,0.024837929786852682,1e-10,2.4367262818101456
8.09296721426589,3.9882948301189534,4.140672029730228e-11,0.005089086242223623,0.005261324272379216,1e-10,0.010178203539362484
31.47914890416166,4.0547342026377144,0.9999999999999999,0.05572785595311797,0.03849504482059788,15.17290728031686,2.414975514020648
51.09326959878153,4.147888915184388,0.9999999999999999,0.024632730301323208,0.030521300052696244,1e-10,2.381268981172951
93.16539543264953,4.251108415514987,0.9999998056262998,0.10000002375659273,0.10000000000823768,1e-10,2.4635785269495107
39.933779665506385,4.3949202833410395,0.9999979405712535,0.10000005237121093,0.1000000000025929,1e-10,2.463574170154247
56.38380419898293,4.647623917334419,0.9999999999000759,0.08002160482754289,0.02626885938475827,1e-10,2.441556850034055
11.498494199312317,4.6353874594203965,3.031764646883758e-10,0.009998754875683512,0.007966684662440299,1e-10,0.019997570766345056
214.88169782658474,5.19440738026451,0.9999994262050111,0.09999999685811276,0.07312967592809552,1e-10,2.463577604429085
