I,Q,alpha,gamma,c,width
149.95039178318186,1.7922913118736894,0.49845754630829336,0.01335315463351862,0.013010860908654899,1e-10,1.1881208194624269
284.25155684846993,2.1814087592305467,0.6681646862962951,0.01220641557413446,0.011842754766283251,211.82911473832982,1.5864997183002463
30.24280911617886,2.063126753092319,0.7378612404090849,0.10006798234315577,0.07404897252845995,283.97326458307197,1.8470179197884717
7.136151856901253,2.0748872708483614,3.540318960849375e-09,0.010159780190314514,0.008506343651574511,1e-10,0.02031962237822866
13.748327566382148,2.4611750591627635,0.9999999979878073,0.044913563042535846,0.05033668102314658,1e-10,2.403212688209512
921.5036260807245,2.9303139694940823,0.57330128316896,0.019234971231340027,0.01708967313350532,0.6197725256771065,1.370706101383741
314.15228607988524,3.125163517562438,0.7741563208365678,0.018017009593653602,0.014760299555561142,140.66042870080582,1.8423397451599997
172.89529095736665,3.0508721335532862,0.9093212810140282,0.018198433453309938,0.014467237242952338,1e-10,2.1608127449196397
48.18749020845321,3.434433928557649,0.99999358262156,0.12558175796622817,0.454897706837522,1e-10,2.491976423660512
33.60249985126344,3.089569448635162,1.837072184397367e-09,0.12323309375097746,0.10000000001594586,1e-10,0.24646693950203885
25.545849657795973,3.983159187732935,0.9999999999000173,0.09310110649192216,0.04221129471209049,1e-10,2.4559577666711916
91.83750568447083,4.1506131963794255,0.5986550388511286,0.05070506858276014,0.034456055055167634,1e-10,1.4647285777114138
45.69429023590378,4.375326299148403,0.6189698109824925,0.03390213059530872,0.015719944008353456,1e-10,1.4941522341222127
17.336631693926943,4.522219099438867,0.07732929180501708,0.029373328441912806,0.021732521494971773,1e-10,0.21554363641249824
193.77554006608977,5.077972816839464,0.9999650468387015,0.10000001851531824,0.10000002192845814,1e-10,2.4634967343338494
