I,Q,alpha,gamma,c,width
289.08770503546435,1.8382512234051795,0.0075163176500564755,0.008563501697879469,4.496675726010787,0.028567720606171437
239.32933389236965,2.14137131860633,0.007629529572121847,1.1976806299248131e-06,4.79005569151984,0.01796744976530561
178.8004834378011,2.2245730201862832,0.008067352054987762,0.0016609759923276964,3.643013766052496e-05,0.02083588501225017
273.53338167684274,2.125131656440432,0.004866260205981403,0.011752327610216405,0.6472318083072713,0.028407850384159238
57.36503927737012,2.1712385998608035,4.505478759391822e-14,0.012599301988000158,6.511016840190201,0.02519868086018672
94.41090873208925,2.342270960673066,0.005594773631710351,0.006585394835300767,3.1555500670849725,0.02157196319997284
32.1086951930965,2.498909397799339,7.860310393705657e-12,0.011308510404328984,3.788471453248969,0.022617089816101617
113.2051364814799,2.7427486321828725,0.00857073889121872,0.008940388740709257,1.096374383909168e-15,0.031389937710008864
744.3618598498659,3.0070124028988,0.01780423846445776,0.0027305110333530865,5.122571055372546e-05,0.044922205634810364
186.56837161829753,3.083436804751022,4.969345012344138e-06,0.0180036318676417,0.19065445528122493,0.036007377683762984
301.08627704933014,3.107108764853632,0.009609761633079602,0.0017436173905374648,5.0054254949047765,0.02455166005222326
113.71638139286733,2.9639899145956154,2.682828646985639e-11,0.019936067649338703,0.19550529111202655,0.03987225695369788
126.59666535100253,3.523344882861654,2.0021183736166086e-22,0.02254006560368515,16.593435578139225,0.0450802687526571
42.737810118757416,3.792225849140782,0.011510005975454981,0.0061525539798993716,1.2023841805622877,0.03428071244926229
43.406059867442906,3.678113257444434,5.197526887500997e-17,0.03212053564246928,1.1985416090621095,0.06424126729272153
40.85920590266995,3.9811180390015846,7.623864812244189e-14,0.023658516842201605,16.500388332178268,0.047317178054767595
27.510694214626923,4.1378440057310355,0.016337584130247416,4.560057230606021e-17,21.537134486905344,0.03847207059728619
100.90359496701116,4.259710583323748,0.031853502701837094,3.245500575199531e-21,5.425658528431729,0.07500926666673349
34.69435603726441,4.208032431427421,3.587929765459404e-15,0.024301450821711795,6.921601350373361,0.04860304993713674
34.04401650272757,4.39193933700755,0.020813364376950617,5.719296088256489e-13,16.329049532731382,0.049011727639987915
35.81410242583603,4.63702265593913,0.022485698008807658,0.009160703846805356,10.56550124486808,0.0634265682153802
136.87403659757234,5.205656427407467,0.019935317735969686,0.015409686233543763,4.9159302490306,0.06556250284319701
92.37340884318046,5.095409518087325,0.17087819649354946,9.546444869972303e-12,1.2435417824558643,0.4023874023719546
53.6912025180745,5.355364347088204,0.02931507958677072,1.0573300635387128e-31,0.9386213780645882,0.06903173703260529
52.40641563647655,4.756868555054278,6.829100776447734e-15,0.027635325682987044,2.0830858459988266,0.055270820003850474
20.758689528345876,4.894421888612834,6.23807414164797e-21,0.02744236825824833,0.007010092959369663,0.05488490397689713
